neighbourhood,avarage_minimum_nights,avg_price,price_w_nights
"IJburg - Zeeburgereiland",3.2861,701.5958,2305.50640953
"De Pijp - Rivierenbuurt",4.1281,165.7068,684.04911195
Centrum-Oost,3.3978,179.6480,610.41695758
Zuid,3.4227,175.6262,601.11710140
"De Baarsjes - Oud-West",3.7109,150.7600,559.45941104
Centrum-West,2.8559,187.1052,534.34822442
Oud-Oost,3.6516,144.6382,528.15450382
Westerpark,3.1651,149.1929,472.21395116
Oud-Noord,2.8356,165.5145,469.33127048
Watergraafsmeer,3.1932,146.4568,467.66324894
"Oostelijk Havengebied - Indische Buurt",3.5031,132.1356,462.88204572
"Buitenveldert - Zuidas",3.2755,132.2296,433.11937733
"Gaasperdam - Driemond",4.6638,88.4483,412.50445894
Noord-Oost,3.1806,128.7093,409.37479864
Bijlmer-Oost,4.0568,92.6136,375.71668381
"Bos en Lommer",2.9497,125.0697,368.92367433
Slotervaart,3.0920,116.8665,361.34973445
Osdorp,3.4762,103.8476,360.99410429
Noord-West,2.8241,124.9815,352.95696158
"De Aker - Nieuw Sloten",2.6789,127.2661,340.93291803
"Geuzenveld - Slotermeer",2.6425,113.1955,299.11444705
Bijlmer-Centrum,2.3297,97.7912,227.82127756
