host_id,host_name,latitude,longitude,room_type,price,minimum_nights
21800150,,52.3684,4.86064,"Entire home/apt",150,3
21800150,,52.36304,4.93673,"Entire home/apt",135,3
21800150,,52.37375,4.87929,"Entire home/apt",126,3
7594884,"Ruben, Sarah & Lindy",52.37053,4.84136,"Entire home/apt",97,3
21800150,,52.3558,4.89884,"Entire home/apt",125,3
21800150,,52.36417,4.94328,"Entire home/apt",150,3
7594884,"Ruben, Sarah & Lindy",52.35076,4.88866,"Entire home/apt",196,3
21800150,,52.3722,4.93064,"Entire home/apt",139,4
1464510,"Wendy And Bram",52.37284,4.87883,"Entire home/apt",300,2
7594884,"Ruben, Sarah & Lindy",52.35774,4.91901,"Entire home/apt",67,3
21800150,,52.35501,4.89389,"Entire home/apt",125,3
7594884,"Ruben, Sarah & Lindy",52.37555,4.88487,"Entire home/apt",999,3
1464510,"Wendy And Bram",52.35257,4.89717,"Entire home/apt",149,2
21800150,,52.35946,4.89304,"Entire home/apt",175,3
21800150,,52.36982,4.85983,"Entire home/apt",120,4
7594884,"Ruben, Sarah & Lindy",52.35896,4.93546,"Entire home/apt",69,3
1464510,"Wendy And Bram",52.36167,4.92627,"Entire home/apt",210,2
21800150,,52.37119,4.85891,"Entire home/apt",220,3
21800150,,52.36342,4.92397,"Entire home/apt",135,3
7594884,"Ruben, Sarah & Lindy",52.36633,4.86593,"Entire home/apt",239,2
7594884,"Ruben, Sarah & Lindy",52.38961,4.91658,"Entire home/apt",109,4
1464510,"Wendy And Bram",52.36096,4.93275,"Entire home/apt",250,2
1464510,"Wendy And Bram",52.34046,4.90206,"Entire home/apt",340,2
21800150,,52.36168,4.8671,"Entire home/apt",136,3
1464510,"Wendy And Bram",52.37616,4.87383,"Entire home/apt",358,2
1464510,"Wendy And Bram",52.36325,4.92645,"Entire home/apt",280,2
7594884,"Ruben, Sarah & Lindy",52.38131,4.87886,"Entire home/apt",99,3
1464510,"Wendy And Bram",52.36213,4.93737,"Entire home/apt",240,3
1464510,"Wendy And Bram",52.36981,4.92732,"Entire home/apt",244,3
1464510,"Wendy And Bram",52.36991,4.85916,"Entire home/apt",300,3
1464510,"Wendy And Bram",52.37824,4.89409,"Entire home/apt",350,3
1464510,"Wendy And Bram",52.35113,4.89107,"Entire home/apt",179,2
1464510,"Wendy And Bram",52.37763,4.87674,"Entire home/apt",89,2
1464510,"Wendy And Bram",52.36136,4.85059,"Entire home/apt",320,2
1464510,"Wendy And Bram",52.37787,4.89157,"Entire home/apt",339,7
1464510,"Wendy And Bram",52.35653,4.92618,"Entire home/apt",109,2
1464510,"Wendy And Bram",52.37234,4.89503,"Entire home/apt",255,2
1464510,"Wendy And Bram",52.37191,4.87525,"Entire home/apt",257,2
1464510,"Wendy And Bram",52.38346,4.88022,"Entire home/apt",180,3
1464510,"Wendy And Bram",52.35762,4.89835,"Entire home/apt",293,2
7594884,"Ruben, Sarah & Lindy",52.38542,4.86751,"Entire home/apt",239,3
1464510,"Wendy And Bram",52.34441,4.90788,"Entire home/apt",298,2
14874061,Jasper,52.37697,4.84837,"Entire home/apt",125,3
1464510,"Wendy And Bram",52.34742,4.9027,"Entire home/apt",103,2
1464510,"Wendy And Bram",52.3734,4.88188,"Entire home/apt",164,2
1464510,"Wendy And Bram",52.38003,4.88527,"Entire home/apt",270,2
1464510,"Wendy And Bram",52.37575,4.8616,"Entire home/apt",340,2
1464510,"Wendy And Bram",52.3748,4.87031,"Entire home/apt",320,2
1464510,"Wendy And Bram",52.36209,4.91419,"Entire home/apt",350,2
21800150,,52.38195,4.88882,"Entire home/apt",130,3
21800150,,52.36607,4.85972,"Entire home/apt",160,3
21800150,,52.36341,4.94424,"Entire home/apt",150,3
21800150,,52.38978,4.88232,"Entire home/apt",110,3
65859990,Martijn,52.35576,4.8885,"Entire home/apt",180,2
21800150,,52.37138,4.90338,"Entire home/apt",185,3
65859990,Martijn,52.38091,4.86884,"Entire home/apt",300,3
1464510,"Wendy And Bram",52.35641,4.9235,"Entire home/apt",167,3
14874061,Jasper,52.35921,4.8544,"Entire home/apt",99,2
14874061,Jasper,52.36257,4.86581,"Entire home/apt",79,3
1464510,"Wendy And Bram",52.35079,4.907,"Entire home/apt",147,2
65859990,Martijn,52.35626,4.86405,"Entire home/apt",200,3
65859990,Martijn,52.35072,4.85151,"Entire home/apt",166,3
14874061,Jasper,52.38123,4.88253,"Entire home/apt",70,3
7594884,"Ruben, Sarah & Lindy",52.36282,4.87876,"Entire home/apt",109,3
65859990,Martijn,52.35475,4.87411,"Entire home/apt",250,2
65859990,Martijn,52.38368,4.88447,"Entire home/apt",282,3
14874061,Jasper,52.35625,4.88899,"Entire home/apt",100,2
65859990,Martijn,52.35101,4.91341,"Entire home/apt",230,2
21800150,,52.35202,4.85388,"Entire home/apt",130,3
1464510,"Wendy And Bram",52.38051,4.89123,"Entire home/apt",190,7
1464510,"Wendy And Bram",52.38051,4.89123,"Entire home/apt",190,7
7594884,"Ruben, Sarah & Lindy",52.3504,4.84685,"Hotel room",75,3
7594884,"Ruben, Sarah & Lindy",52.35126,4.88732,"Entire home/apt",79,3
14874061,Jasper,52.35161,4.93643,"Entire home/apt",120,2
14874061,Jasper,52.38399,4.85543,"Entire home/apt",99,3
7594884,"Ruben, Sarah & Lindy",52.36462,4.87766,"Entire home/apt",413,3
21800150,,52.36259,4.93604,"Entire home/apt",95,3
65859990,Martijn,52.38315,4.86,"Entire home/apt",330,2
14874061,Jasper,52.35073,4.85712,"Entire home/apt",80,2
1464510,"Wendy And Bram",52.36574,4.85702,"Entire home/apt",262,2
65859990,Martijn,52.37206,4.88035,"Private room",107,2
14874061,Jasper,52.34212,4.90639,"Entire home/apt",179,2
7594884,"Ruben, Sarah & Lindy",52.36125,4.89678,"Hotel room",129,3
7594884,"Ruben, Sarah & Lindy",52.36111,4.89606,"Hotel room",136,3
65859990,Martijn,52.35934,4.85073,"Entire home/apt",420,2
65859990,Martijn,52.36355,4.92517,"Entire home/apt",190,2
1464510,"Wendy And Bram",52.37674,4.85021,"Entire home/apt",120,3
1464510,"Wendy And Bram",52.35334,4.88904,"Entire home/apt",400,2
65859990,Martijn,52.35287,4.89312,"Entire home/apt",272,2
21800150,,52.35936,4.86177,"Entire home/apt",140,3
21800150,,52.368,4.8368,"Entire home/apt",210,3
14874061,Jasper,52.37135,4.92126,"Entire home/apt",130,2
1464510,"Wendy And Bram",52.36574,4.8663,"Entire home/apt",180,2
1464510,"Wendy And Bram",52.35945,4.93414,"Entire home/apt",220,2
7594884,"Ruben, Sarah & Lindy",52.36025,4.89186,"Entire home/apt",125,3
14874061,Jasper,52.34646,4.8615,"Entire home/apt",110,2
1464510,"Wendy And Bram",52.35701,4.90693,"Entire home/apt",228,2
1464510,"Wendy And Bram",52.37688,4.85012,"Entire home/apt",197,3
21800150,,52.34746,4.94184,"Entire home/apt",125,3
14874061,Jasper,52.36211,4.90795,"Entire home/apt",157,3
7594884,"Ruben, Sarah & Lindy",52.35405,4.92462,"Entire home/apt",139,3
65859990,Martijn,52.35472,4.92636,"Entire home/apt",239,2
14874061,Jasper,52.35702,4.92649,"Entire home/apt",106,2
21800150,,52.38359,4.88045,"Entire home/apt",155,3
65859990,Martijn,52.37261,4.87895,"Entire home/apt",165,2
65859990,Martijn,52.37143,4.8795,"Entire home/apt",145,2
14874061,Jasper,52.3554,4.92267,"Entire home/apt",166,2
21800150,,52.37125,4.8551,"Entire home/apt",220,3
14874061,Jasper,52.36265,4.88996,"Entire home/apt",182,5
65859990,Martijn,52.38023,4.89248,"Entire home/apt",198,2
7594884,"Ruben, Sarah & Lindy",52.36815,4.88625,"Entire home/apt",144,2
65859990,Martijn,52.37351,4.89833,"Entire home/apt",410,2
21800150,,52.3652,4.87876,"Entire home/apt",100,3
65859990,Martijn,52.37352,4.87447,"Entire home/apt",130,2
65859990,Martijn,52.37801,4.88423,"Entire home/apt",430,2
65859990,Martijn,52.36521,4.86282,"Entire home/apt",290,2
65859990,Martijn,52.34924,4.88829,"Entire home/apt",200,2
